"","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","cnt_mov_avg_7","cnt_lag_1","cnt_lag_2","cnt_lag_3","cnt_lag_4","cnt_lag_5","cnt_lag_6","cnt_lag_7","cnt_lag_8","cnt_tom","r_cnt_mov_avg_7","r_cnt_mov_avg_2","r_cnt_mov_avg_21","weekly_trend","AR"
"17","1",0,1,"1","1","0","2",0.175833,0.176771,0.5375,0.194017,117,883,1000,1304.71428571429,1204,1248,1421,1406,1162,1263,1321,822,683,1289.28571428571,1226,NA,-0.464720194647202,1207.39592101865
"18","1",0,1,"0","2","1","2",0.216667,0.232333,0.861667,0.146775,9,674,683,1322.14285714286,1000,1204,1248,1421,1406,1162,1263,1321,1650,1243.42857142857,1102,NA,0.242997728993187,1000.75164644722
"19","1",0,1,"0","3","1","2",0.292174,0.298422,0.741739,0.208317,78,1572,1650,1284,683,1000,1204,1248,1421,1406,1162,1263,1927,1160.57142857143,841.5,NA,0.459224069675376,1356.1800721615
"20","1",0,1,"0","4","1","2",0.261667,0.25505,0.538333,0.195904,83,1844,1927,1252.85714285714,1650,683,1000,1204,1248,1421,1406,1162,1543,1230.28571428571,1166.5,NA,-0.419965576592083,1581.61246044722
"21","1",0,1,"0","5","1","1",0.1775,0.157833,0.457083,0.353242,75,1468,1543,1312.28571428571,1927,1650,683,1000,1204,1248,1421,1406,981,1304.71428571429,1788.5,NA,-0.370554765291607,1459.70887873293
"22","1",0,1,"0","6","0","1",0.0591304,0.0790696,0.4,0.17197,93,888,981,1498.28571428571,1543,1927,1650,683,1000,1204,1248,1421,986,1322.14285714286,1735,1286.7619047619,-0.0858550316678395,1201.74080587579
"23","1",0,1,"0","0","0","1",0.0965217,0.0988391,0.436522,0.2466,150,836,986,1334.85714285714,981,1543,1927,1650,683,1000,1204,1248,1416,1284,1262,1286.57142857143,0.213942307692308,1158.21983244722
"24","1",0,1,"0","1","1","1",0.0973913,0.11793,0.491739,0.15833,86,1330,1416,1121.14285714286,986,981,1543,1927,1650,683,1000,1204,1985,1252.85714285714,983.5,1295.38095238095,0.181063122923588,1329.65268873293
"25","1",0,1,"0","2","1","2",0.223478,0.234526,0.616957,0.129796,186,1799,1985,1067.42857142857,1416,986,981,1543,1927,1650,683,1000,506,1312.28571428571,1201,1298.57142857143,-0.416,1648.77627759007
"26","1",0,1,"0","3","1","3",0.2175,0.2036,0.8625,0.29385,34,472,506,1084.14285714286,1985,1416,986,981,1543,1927,1650,683,431,1498.28571428571,1700.5,1318.71428571429,-1.90629575402635,1169.06438930436
"27","1",0,1,"0","4","1","1",0.195,0.2197,0.6875,0.113837,15,416,431,1099.85714285714,506,1985,1416,986,981,1543,1927,1650,1167,1334.85714285714,1245.5,1266.61904761905,0.693333333333333,892.695375875788
"28","1",0,1,"0","5","1","2",0.203478,0.223317,0.793043,0.1233,38,1129,1167,1112,431,506,1985,1416,986,981,1543,1927,1098,1121.14285714286,468.5,1210.66666666667,0.776336274001038,1068.18362044722
"29","1",0,1,"0","6","0","1",0.196522,0.212126,0.651739,0.145365,123,975,1098,1022.71428571429,1167,431,506,1985,1416,986,981,1543,1096,1067.42857142857,799,1194.33333333333,0.243681140635126,1077.09038987579
"30","1",0,1,"0","0","0","1",0.216522,0.250322,0.722174,0.0739826,140,956,1096,1168.42857142857,1098,1167,431,506,1985,1416,986,981,1501,1084.14285714286,1132.5,1200.95238095238,-0.119266055045872,1116.18258473293
"31","1",0,1,"0","1","1","2",0.180833,0.18625,0.60375,0.187192,42,1459,1501,1328.28571428571,1096,1098,1167,431,506,1985,1416,986,1360,1099.85714285714,1097,1214,-0.111561866125761,1299.91664130436
"32","1",0,2,"0","2","1","2",0.192174,0.23453,0.829565,0.053213,47,1313,1360,1405.57142857143,1501,1096,1098,1167,431,506,1985,1416,1526,1112,1298.5,1222.57142857143,-0.0600282485875706,1244.24577930436
"33","1",0,2,"0","3","1","2",0.26,0.254417,0.775417,0.264308,72,1454,1526,1392.28571428571,1360,1501,1096,1098,1167,431,506,1985,1550,1022.71428571429,1430.5,1227.19047619048,0.314861460957179,1221.53743559007
"34","1",0,2,"0","4","1","1",0.186957,0.177878,0.437826,0.277752,61,1489,1550,1467.57142857143,1526,1360,1501,1096,1098,1167,431,506,1708,1168.42857142857,1443,1244.52380952381,-2.01581027667984,1416.2729421615
"35","1",0,2,"0","5","1","2",0.211304,0.228587,0.585217,0.127839,88,1620,1708,1497.71428571429,1550,1526,1360,1501,1096,1098,1167,431,1005,1328.28571428571,1538,1251.38095238095,-2.59628770301624,1581.44638387579
"36","1",0,2,"0","6","0","2",0.233333,0.243058,0.929167,0.161079,100,905,1005,1522,1708,1550,1526,1360,1501,1096,1098,1167,1623,1405.57142857143,1629,1265.04761904762,-0.463581833761782,1285.35482959007
"37","1",0,2,"0","0","0","1",0.285833,0.291671,0.568333,0.1418,354,1269,1623,1533.28571428571,1005,1708,1550,1526,1360,1501,1096,1098,1712,1392.28571428571,1356.5,1253.47619047619,0.0846994535519126,1506.04808244722
"38","1",0,2,"0","1","1","1",0.271667,0.303658,0.738333,0.0454083,120,1592,1712,1531.57142857143,1623,1005,1708,1550,1526,1360,1501,1096,1530,1467.57142857143,1314,1273.42857142857,-0.480839416058394,1625.59507559007
"39","1",0,2,"0","2","1","1",0.220833,0.198246,0.537917,0.36195,64,1466,1530,1537,1712,1623,1005,1708,1550,1526,1360,1501,1605,1497.71428571429,1667.5,1307.33333333333,-0.140572951365756,1544.40474387579
"40","1",0,2,"0","3","1","2",0.134783,0.144283,0.494783,0.188839,53,1552,1605,1603.71428571429,1530,1712,1623,1005,1708,1550,1526,1360,1538,1522,1621,1347.66666666667,-0.125,1588.10113073293
"41","1",0,2,"0","4","1","1",0.144348,0.149548,0.437391,0.221935,47,1491,1538,1598.85714285714,1605,1530,1712,1623,1005,1708,1550,1526,1746,1533.28571428571,1567.5,1345.52380952381,-0.0517693315858453,1559.8855081615
"42","1",0,2,"0","5","1","1",0.189091,0.213509,0.506364,0.10855,149,1597,1746,1627.57142857143,1538,1605,1530,1712,1623,1005,1708,1550,1472,1531.57142857143,1571.5,1327,0.00774193548387097,1643.29382159007
"43","1",0,2,"0","6","0","1",0.2225,0.232954,0.544167,0.203367,288,1184,1472,1668.28571428571,1746,1538,1605,1530,1712,1623,1005,1708,1589,1537,1642,1336.66666666667,-0.022248243559719,1530.8983741615
"44","1",0,2,"0","0","0","1",0.316522,0.324113,0.457391,0.260883,397,1192,1589,1741.14285714286,1472,1746,1538,1605,1530,1712,1623,1005,1913,1603.71428571429,1609,1360.04761904762,-0.464676616915423,1645.89207159007
"45","1",0,2,"0","1","1","1",0.415,0.39835,0.375833,0.417908,208,1705,1913,1875,1589,1472,1746,1538,1605,1530,1712,1623,1815,1598.85714285714,1530.5,1388.7619047619,0.0209488601355514,1752.36811759007
"46","1",0,2,"0","2","1","1",0.266087,0.254274,0.314348,0.291374,140,1675,1815,2043.71428571429,1913,1589,1472,1746,1538,1605,1530,1712,2115,1627.57142857143,1751,1412.42857142857,-0.117406542056075,1740.77743987579
"47","1",0,2,"0","3","1","1",0.318261,0.3162,0.423478,0.251791,218,1897,2115,2067,1815,1913,1589,1472,1746,1538,1605,1530,2475,1668.28571428571,1864,1404.33333333333,-0.186274509803922,1898.88302244722
"48","1",0,2,"0","4","1","1",0.435833,0.428658,0.505,0.230104,259,2216,2475,2098.85714285714,2115,1815,1913,1589,1472,1746,1538,1605,2927,1741.14285714286,1965,1480.95238095238,-0.317757009345794,2109.9021181615
"49","1",0,2,"0","5","1","1",0.521667,0.511983,0.516667,0.264925,579,2348,2927,1983.71428571429,2475,2115,1815,1913,1589,1472,1746,1538,1635,1875,2295,1578.28571428571,-0.609232769830949,2407.82271644722
"50","1",0,2,"0","6","0","1",0.399167,0.391404,0.187917,0.507463,532,1103,1635,1931.57142857143,2927,2475,2115,1815,1913,1589,1472,1746,1812,2043.71428571429,2701,1662.09523809524,-0.676403207331042,1959.53724759007
"51","1",0,2,"0","0","0","1",0.285217,0.27733,0.407826,0.223235,639,1173,1812,1903.28571428571,1635,2927,2475,2115,1815,1913,1589,1472,1107,2067,2281,1687.66666666667,-0.110733695652174,1986.40837273293
"52","1",0,2,"1","1","0","2",0.303333,0.284075,0.605,0.307846,195,912,1107,1807.85714285714,1812,1635,2927,2475,2115,1815,1913,1589,1450,2098.85714285714,1723.5,1721.7619047619,-0.140339836375079,1703.12026473293
"53","1",0,2,"0","2","1","1",0.182222,0.186033,0.577778,0.195683,74,1376,1450,1598.42857142857,1107,1812,1635,2927,2475,2115,1815,1913,1917,1983.71428571429,1459.5,1703,0.421327757449033,1722.61576701865
"54","1",0,2,"0","3","1","1",0.221739,0.245717,0.423043,0.094113,139,1778,1917,1646.14285714286,1450,1107,1812,1635,2927,2475,2115,1815,1807,1931.57142857143,1278.5,1707.28571428571,0.201101928374656,1922.37893130436
"55","1",0,2,"0","4","1","2",0.295652,0.289191,0.697391,0.250496,100,1707,1807,1730.42857142857,1917,1450,1107,1812,1635,2927,2475,2115,1461,1903.28571428571,1683.5,1725.90476190476,0.0936170212765957,1869.05715844722
"56","1",0,2,"0","5","1","2",0.364348,0.350461,0.712174,0.346539,120,1341,1461,1778.85714285714,1807,1917,1450,1107,1812,1635,2927,2475,1969,1807.85714285714,1862,1738.14285714286,0.26989898989899,1636.14662587579
"57","1",0,2,"0","6","0","1",0.2825,0.282192,0.537917,0.186571,424,1545,1969,1836.14285714286,1461,1807,1917,1450,1107,1812,1635,2927,2402,1598.42857142857,1634,1726.38095238095,0.500854116843184,1687.83487273293
"58","1",0,2,"0","0","0","1",0.343478,0.351109,0.68,0.125248,694,1708,2402,1867.14285714286,1969,1461,1807,1917,1450,1107,1812,1635,1446,1646.14285714286,1715,1772.28571428571,-0.204281345565749,2013.54213473293
"59","1",0,2,"0","1","1","2",0.407273,0.400118,0.876364,0.289686,81,1365,1446,1849.71428571429,2402,1969,1461,1807,1917,1450,1107,1812,1851,1730.42857142857,2185.5,1809.38095238095,-0.32560706401766,1663.49859587579
"60","1",0,3,"0","2","1","1",0.266667,0.263879,0.535,0.216425,137,1714,1851,1918.71428571429,1446,2402,1969,1461,1807,1917,1450,1107,2134,1778.85714285714,1924,1796.71428571429,-0.306233062330623,1850.70729444722
"61","1",0,3,"0","3","1","1",0.335,0.320071,0.449583,0.307833,231,1903,2134,1934.14285714286,1851,1446,2402,1969,1461,1807,1917,1450,1685,1836.14285714286,1648.5,1812,-0.276551724137931,2009.49722644722
"62","1",0,3,"0","4","1","1",0.198333,0.200133,0.318333,0.225754,123,1562,1685,1677.42857142857,2134,1851,1446,2402,1969,1461,1807,1917,1944,1867.14285714286,1992.5,1837.19047619048,-0.113197704747001,1821.41625959007
"63","1",0,3,"0","5","1","2",0.261667,0.255679,0.610417,0.203346,214,1730,1944,1738.28571428571,1685,2134,1851,1446,2402,1969,1461,1807,2077,1849.71428571429,1909.5,1844.19047619048,0.0675152185943553,1902.6483041615
"64","1",0,3,"0","6","0","2",0.384167,0.378779,0.789167,0.251871,640,1437,2077,1778.57142857143,1944,1685,2134,1851,1446,2402,1969,1461,605,1918.71428571429,1814.5,1853.61904761905,-0.330595482546201,2036.74205644722
"65","1",0,3,"0","0","0","2",0.376522,0.366252,0.948261,0.343287,114,491,605,1743.85714285714,2077,1944,1685,2134,1851,1446,2402,1969,1872,1934.14285714286,2010.5,1882.42857142857,-0.0548501777552057,1385.34602587579
"66","1",0,3,"0","1","1","1",0.261739,0.238461,0.551304,0.341352,244,1628,1872,1592.14285714286,605,2077,1944,1685,2134,1851,1446,2402,2133,1677.42857142857,1341,1835.57142857143,0.748126561199001,1670.21423187579
"67","1",0,3,"0","2","1","1",0.2925,0.3024,0.420833,0.12065,316,1817,2133,1596.85714285714,1872,605,2077,1944,1685,2134,1851,1446,1891,1738.28571428571,1238.5,1833.61904761905,-0.294605809128631,1955.09773587579
"68","1",0,3,"0","3","1","2",0.295833,0.286608,0.775417,0.22015,191,1700,1891,1604.71428571429,2133,1872,605,2077,1944,1685,2134,1851,623,1778.57142857143,2002.5,1848.7619047619,-0.152350081037277,1864.33050159007
"69","1",0,3,"0","4","1","3",0.389091,0.385668,0.502727571428571,0.261877,46,577,623,1863.57142857143,1891,2133,1872,605,2077,1944,1685,2134,1977,1743.85714285714,2012,1838.09523809524,0.113870665417057,1263.49220501865
"70","1",0,3,"0","5","1","2",0.316522,0.305,0.649565,0.23297,247,1730,1977,1888.42857142857,623,1891,2133,1872,605,2077,1944,1685,2132,1592.14285714286,1257,1749.90476190476,0.63026706231454,1712.70514244722
"71","1",0,3,"0","6","0","1",0.329167,0.32575,0.594583,0.220775,724,1408,2132,1877.42857142857,1977,623,1891,2133,1872,605,2077,1944,2417,1596.85714285714,1300,1704.66666666667,-0.0169753086419753,1850.14144730436
"72","1",0,3,"0","0","0","1",0.384348,0.380091,0.527391,0.270604,982,1435,2417,1920.42857142857,2132,1977,623,1891,2133,1872,605,2077,2046,1604.71428571429,2054.5,1728.33333333333,-0.0264805007221955,1979.28438501865
"73","1",0,3,"0","1","1","1",0.325217,0.332,0.496957,0.136926,359,1687,2046,2223.42857142857,2417,2132,1977,623,1891,2133,1872,605,2056,1863.57142857143,2274.5,1757.14285714286,-2.99504132231405,2074.20170730436
"74","1",0,3,"0","2","1","2",0.317391,0.318178,0.655652,0.184309,289,1767,2056,2403.71428571429,2046,2417,2132,1977,623,1891,2133,1872,2192,1888.42857142857,2231.5,1801.85714285714,-0.092948717948718,1991.37288959007
"75","1",0,3,"0","3","1","2",0.365217,0.36693,0.776522,0.203117,321,1871,2192,2544.42857142857,2056,2046,2417,2132,1977,623,1891,2133,2744,1877.42857142857,2051,1830.71428571429,0.0360993905297703,2028.46684901865
"76","1",0,3,"0","4","1","1",0.415,0.410333,0.602917,0.209579,424,2320,2744,2552.14285714286,2192,2056,2046,2417,2132,1977,623,1891,3239,1920.42857142857,2124,1843.80952380952,-0.159175039661555,2315.08933501865
"77","1",0,3,"0","5","1","1",0.54,0.527009,0.525217,0.231017,884,2355,3239,2556.57142857143,2744,2192,2056,2046,2417,2132,1977,623,3117,2223.42857142857,2468,1888.42857142857,-3.40449438202247,2813.67967901865
"78","1",0,3,"0","6","0","1",0.4725,0.466525,0.379167,0.368167,1424,1693,3117,2649,3239,2744,2192,2056,2046,2417,2132,1977,2471,2403.71428571429,2991.5,1973.09523809524,-0.638340920586748,2810.05854330436
"79","1",0,3,"0","0","0","1",0.3325,0.32575,0.47375,0.207721,1047,1424,2471,2638.85714285714,3117,3239,2744,2192,2056,2046,2417,2132,2077,2544.42857142857,3178,2027.7619047619,-0.462007504690432,2593.2208221615
"80","2",0,3,"0","1","1","2",0.430435,0.409735,0.737391,0.288783,401,1676,2077,2513.28571428571,2471,3117,3239,2744,2192,2056,2046,2417,2703,2552.14285714286,2794,2031.04761904762,-0.0223417459660736,2369.55247273293
"81","2",0,3,"0","2","1","1",0.441667,0.440642,0.624583,0.22575,460,2243,2703,2366.28571428571,2077,2471,3117,3239,2744,2192,2056,2046,2121,2556.57142857143,2274,2061.09523809524,-0.0151515151515152,2641.52687501865
"82","2",0,3,"0","3","1","2",0.346957,0.337939,0.839565,0.234261,203,1918,2121,2277.57142857143,2703,2077,2471,3117,3239,2744,2192,2056,1865,2649,2390,2101.66666666667,-0.314688715953307,2480.1949021615
"83","2",0,3,"0","4","1","2",0.285,0.270833,0.805833,0.243787,166,1699,1865,2166.42857142857,2121,2703,2077,2471,3117,3239,2744,2192,2210,2638.85714285714,2412,2101.04761904762,0.0323905109489051,2319.27933673293
"84","2",0,3,"0","5","1","1",0.264167,0.256312,0.495,0.230725,300,1910,2210,2159.42857142857,1865,2121,2703,2077,2471,3117,3239,2744,2496,2513.28571428571,1993,2109.61904761905,0.32033527696793,2347.38603559007
"85","2",0,3,"0","6","0","1",0.265833,0.257571,0.394167,0.209571,981,1515,2496,2119.71428571429,2210,1865,2121,2703,2077,2471,3117,3239,1693,2366.28571428571,2037.5,2122.28571428571,0.317690645260883,2378.48204730436
"86","2",0,3,"0","0","0","2",0.253043,0.250339,0.493913,0.1843,472,1221,1693,2036.14285714286,2496,2210,1865,2121,2703,2077,2471,3117,2028,2277.57142857143,2353,2142.2380952381,0.199230028873917,2005.90212959007
"87","2",0,3,"0","1","1","1",0.264348,0.257574,0.302174,0.212204,222,1806,2028,2010.42857142857,1693,2496,2210,1865,2121,2703,2077,2471,2425,2166.42857142857,2094.5,2194.04761904762,0.314852286523675,2078.10976559007
"88","2",0,3,"0","2","1","1",0.3025,0.292908,0.314167,0.226996,317,2108,2425,2012.85714285714,2028,1693,2496,2210,1865,2121,2703,2077,1536,2159.42857142857,1860.5,2201.47619047619,0.0235917188252287,2290.99435901865
"89","2",0,3,"0","3","1","2",0.3,0.29735,0.646667,0.172888,168,1368,1536,1978,2425,2028,1693,2496,2210,1865,2121,2703,1685,2119.71428571429,2226.5,2215.38095238095,0.102848686644469,1869.61926930436
"90","2",0,3,"0","4","1","3",0.268333,0.257575,0.918333,0.217646,179,1506,1685,2200.28571428571,1536,2425,2028,1693,2496,2210,1865,2121,2227,2036.14285714286,1980.5,2198.47619047619,0.275813295615276,1867.70866387579
"91","2",0,4,"0","5","1","2",0.3,0.283454,0.68625,0.258708,307,1920,2227,2355.57142857143,1685,1536,2425,2028,1693,2496,2210,1865,2252,2010.42857142857,1610.5,2249.04761904762,0.096514745308311,2112.69289787579
"92","2",0,4,"0","6","0","2",0.315,0.315637,0.65375,0.197146,898,1354,2252,2265.57142857143,2227,1685,1536,2425,2028,1693,2496,2210,3249,2012.85714285714,1956,2260.95238095238,-0.00769230769230769,2137.06665644722
"93","2",0,4,"0","0","0","1",0.378333,0.378767,0.48,0.182213,1651,1598,3249,2447.28571428571,2252,2227,1685,1536,2425,2028,1693,2496,3115,1978,2239.5,2266.66666666667,0.0977564102564103,2532.58245130436
"94","2",0,4,"0","1","1","1",0.573333,0.542929,0.42625,0.385571,734,2381,3115,2655.28571428571,3249,2252,2227,1685,1536,2425,2028,1693,1795,2200.28571428571,2750.5,2306.28571428571,-0.919078558771412,2711.9668701615
"95","2",0,4,"0","2","1","2",0.414167,0.39835,0.642083,0.388067,167,1628,1795,2547.28571428571,3115,3249,2252,2227,1685,1536,2425,2028,2808,2355.57142857143,3182,2357.19047619048,-0.535996055226824,2199.87162559007
"96","2",0,4,"0","3","1","1",0.390833,0.387608,0.470833,0.263063,413,2395,2808,2576.28571428571,1795,3115,3249,2252,2227,1685,1536,2425,3141,2265.57142857143,2455,2344.7619047619,0.25979381443299,2481.02346673293
"97","2",0,4,"0","4","1","1",0.4375,0.433696,0.602917,0.162312,571,2570,3141,2525.71428571429,2808,1795,3115,3249,2252,2227,1685,1536,1471,2447.28571428571,2301.5,2374.09523809524,-0.828125,2845.77915844722
"98","2",0,4,"0","5","1","2",0.335833,0.324479,0.83625,0.226992,172,1299,1471,2559,3141,2808,1795,3115,3249,2252,2227,1685,2455,2655.28571428571,2974.5,2393,-0.864094955489614,2252.50164930436
"99","2",0,4,"0","6","0","2",0.3425,0.341529,0.8775,0.133083,879,1576,2455,2593.14285714286,1471,3141,2808,1795,3115,3249,2252,2227,2895,2547.28571428571,2306,2308.80952380952,0.339470139200718,2480.29392130436
"100","2",0,4,"0","0","0","2",0.426667,0.426737,0.8575,0.146767,1188,1707,2895,2500.85714285714,2455,1471,3141,2808,1795,3115,3249,2252,3348,2576.28571428571,1963,2277.28571428571,-0.0901420959147425,2746.42557730436
"101","2",0,4,"0","1","1","2",0.595652,0.565217,0.716956,0.324474,855,2493,3348,2518.85714285714,2895,2455,1471,3141,2808,1795,3115,3249,2034,2525.71428571429,2675,2297.47619047619,0.108956602031394,2879.32827673293
"102","2",0,4,"0","2","1","2",0.5025,0.493054,0.739167,0.274879,257,1777,2034,2755.28571428571,3348,2895,2455,1471,3141,2808,1795,3115,2162,2559,3121.5,2358,-0.0747993579454254,2365.90065273293
"103","2",0,4,"0","3","1","2",0.4125,0.417283,0.819167,0.250617,209,1953,2162,2518.14285714286,2034,3348,2895,2455,1471,3141,2808,1795,3267,2593.14285714286,2691,2326.14285714286,-0.133147632311978,2441.02846501865
"104","2",0,4,"0","4","1","1",0.4675,0.462742,0.540417,0.1107,529,2738,3267,2639.42857142857,2162,2034,3348,2895,2455,1471,3141,2808,3126,2500.85714285714,2098,2328.09523809524,0.23005698005698,2812.12619530436
"105","2",0,4,"1","5","0","1",0.446667,0.441913,0.67125,0.226375,642,2484,3126,2651,3267,2162,2034,3348,2895,2455,1471,3141,795,2518.85714285714,2714.5,2394.85714285714,-0.0401146131805158,2809.0464521615
"106","2",0,4,"0","6","0","3",0.430833,0.425492,0.888333,0.340808,121,674,795,2818.14285714286,3126,3267,2162,2034,3348,2895,2455,1471,3744,2755.28571428571,3196.5,2438.47619047619,-1.12508497620666,2029.01104559007
"107","2",0,4,"0","0","0","1",0.456667,0.445696,0.479583,0.303496,1558,2186,3744,3072.71428571429,795,3126,3267,2162,2034,3348,2895,2455,3429,2518.14285714286,1960.5,2357.47619047619,0.676171079429735,2965.6575221615
"108","2",0,4,"0","1","1","1",0.5125,0.503146,0.5425,0.163567,669,2760,3429,3204.42857142857,3744,795,3126,3267,2162,2034,3348,2895,3204,2639.42857142857,2269.5,2455.14285714286,-0.293264248704663,3053.25273787579
"109","2",0,4,"0","2","1","2",0.505833,0.489258,0.665833,0.157971,409,2795,3204,2998.28571428571,3429,3744,795,3126,3267,2162,2034,3348,3944,2651,3586.5,2521.85714285714,-0.0241935483870968,2914.97871959007
"110","2",0,4,"0","3","1","1",0.595,0.564392,0.614167,0.241925,613,3331,3944,3461.28571428571,3204,3429,3744,795,3126,3267,2162,2034,4189,2818.14285714286,3316.5,2558.95238095238,-0.575221238938053,3397.32864501865
"111","2",0,4,"0","4","1","1",0.459167,0.453892,0.407083,0.325258,745,3444,4189,3525.14285714286,3944,3204,3429,3744,795,3126,3267,2162,1683,3072.71428571429,3574,2673.61904761905,-0.824236817761332,3685.5905721615
"112","2",0,4,"0","5","1","2",0.336667,0.321954,0.729583,0.219521,177,1506,1683,3617.14285714286,4189,3944,3204,3429,3744,795,3126,3267,4036,3204.42857142857,4066.5,2792.85714285714,-0.282216100397919,2622.7448681615
"113","2",0,4,"0","6","0","2",0.46,0.450121,0.887917,0.230725,1462,2574,4036,3788,1683,4189,3944,3204,3429,3744,795,3126,4191,2998.28571428571,2936,2766.95238095238,0.461612284069098,3377.80120787579
"114","2",0,4,"0","0","0","2",0.581667,0.551763,0.810833,0.192175,1710,2481,4191,3777.71428571429,4036,1683,4189,3944,3204,3429,3744,795,4073,3461.28571428571,2859.5,2851.90476190476,-4.07672955974843,3997.07566730436
"115","2",0,4,"0","1","1","1",0.606667,0.5745,0.776667,0.185333,773,3300,4073,3759,4191,4036,1683,4189,3944,3204,3429,3744,4400,3525.14285714286,4113.5,2896.7619047619,-0.119391025641026,3809.5213281615
"116","2",0,4,"0","2","1","1",0.631667,0.594083,0.729167,0.3265,678,3722,4400,4175,4073,4191,4036,1683,4189,3944,3204,3429,3872,3617.14285714286,4132,2942.38095238095,-0.187809857101196,4015.38903159007
"117","2",0,4,"0","3","1","2",0.62,0.575142,0.835417,0.3122,547,3325,3872,4357.28571428571,4400,4073,4191,4036,1683,4189,3944,3204,4058,3788,4236.5,3066.42857142857,-0.373283395755306,3917.95853444722
"118","2",0,4,"0","4","1","2",0.6175,0.578929,0.700833,0.320908,569,3489,4058,4237.28571428571,3872,4400,4073,4191,4036,1683,4189,3944,4595,3777.71428571429,4136,3117.09523809524,0.0182555780933063,3914.22546759007
"119","2",0,4,"0","5","1","1",0.51,0.497463,0.457083,0.240063,878,3717,4595,4284.14285714286,4058,3872,4400,4073,4191,4036,1683,4189,5312,3759,3965,3160.7619047619,0.0312723800429697,4132.33375073293
"120","2",0,4,"0","6","0","1",0.4725,0.464021,0.503333,0.235075,1965,3347,5312,4291.42857142857,4595,4058,3872,4400,4073,4191,4036,1683,3351,4175,4326.5,3309.52380952381,-1.73024361259655,4866.69350787579
