"","X.3","X.2","X.1","X","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","cnt_mov_avg_7","cnt_lag_1","cnt_lag_2","cnt_lag_3","cnt_lag_4","cnt_lag_5","cnt_lag_6","cnt_lag_7","cnt_lag_8","cnt_tom","r_cnt_mov_avg_7","r_cnt_mov_avg_2","r_cnt_mov_avg_21","weekly_trend","AR"
"11",11,11,11,11,"2011-01-11",1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,1193.42857142857,1321,822,959,1510,1606,1600,1562,1349,1162,1340,1071.5,NA,0.0207561156412157,1314.27195602211
"12",12,12,12,12,"2011-01-12",1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,1234.71428571429,1263,1321,822,959,1510,1606,1600,1562,1406,1297.28571428571,1292,NA,0.191421254801536,1229.66026630782
"13",13,13,13,13,"2011-01-13",1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,1289.28571428571,1162,1263,1321,822,959,1510,1606,1600,1421,1234.71428571429,1212.5,NA,0.27375,1290.92991259354
"14",14,14,14,14,"2011-01-14",1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,1243.42857142857,1406,1162,1263,1321,822,959,1510,1606,1248,1206.14285714286,1284,NA,0.12453300124533,1295.86406630783
"15",15,15,15,15,"2011-01-15",1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,1160.57142857143,1421,1406,1162,1263,1321,822,959,1510,1204,1193.42857142857,1413.5,NA,0.0589403973509934,1220.76645887925
"16",16,16,16,16,"2011-01-16",1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,1230.28571428571,1248,1421,1406,1162,1263,1321,822,959,1000,1234.71428571429,1334.5,NA,-0.301355578727842,1248.53887202212
"17",17,17,17,17,"2011-01-17",1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,1304.71428571429,1204,1248,1421,1406,1162,1263,1321,822,683,1289.28571428571,1226,NA,-0.464720194647202,1197.16355145068
"18",18,18,18,18,"2011-01-18",1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,1322.14285714286,1000,1204,1248,1421,1406,1162,1263,1321,1650,1243.42857142857,1102,NA,0.242997728993187,990.812818307825
"19",19,19,19,19,"2011-01-19",1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,1284,683,1000,1204,1248,1421,1406,1162,1263,1927,1160.57142857143,841.5,NA,0.459224069675376,1345.44108687925
"20",20,20,20,20,"2011-01-20",1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,1252.85714285714,1650,683,1000,1204,1248,1421,1406,1162,1543,1230.28571428571,1166.5,NA,-0.419965576592083,1570.5891880221
"21",21,21,21,21,"2011-01-21",1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,1312.28571428571,1927,1650,683,1000,1204,1248,1421,1406,981,1304.71428571429,1788.5,NA,-0.370554765291607,1449.04404059354
"22",22,22,22,22,"2011-01-22",1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,1498.28571428571,1543,1927,1650,683,1000,1204,1248,1421,986,1322.14285714286,1735,1286.7619047619,-0.0858550316678395,1191.57874630783
"23",23,23,23,23,"2011-01-23",1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,1334.85714285714,981,1543,1927,1650,683,1000,1204,1248,1416,1284,1262,1286.57142857143,0.213942307692308,1148.06759145068
"24",24,24,24,24,"2011-01-24",1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,1121.14285714286,986,981,1543,1927,1650,683,1000,1204,1985,1252.85714285714,983.5,1295.38095238095,0.181063122923588,1319.13061487925
"25",25,25,25,25,"2011-01-25",1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,1067.42857142857,1416,986,981,1543,1927,1650,683,1000,506,1312.28571428571,1201,1298.57142857143,-0.416,1637.78009087925
"26",26,26,26,26,"2011-01-26",1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,1084.14285714286,1985,1416,986,981,1543,1927,1650,683,431,1498.28571428571,1700.5,1318.71428571429,-1.90629575402635,1159.28356116496
"27",27,27,27,27,"2011-01-27",1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,1099.85714285714,506,1985,1416,986,981,1543,1927,1650,1167,1334.85714285714,1245.5,1266.61904761905,0.693333333333333,883.120737736395
"28",28,28,28,28,"2011-01-28",1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,1112,431,506,1985,1416,986,981,1543,1927,1098,1121.14285714286,468.5,1210.66666666667,0.776336274001038,1057.8984337364
"29",29,29,29,29,"2011-01-29",1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,1022.71428571429,1167,431,506,1985,1416,986,981,1543,1096,1067.42857142857,799,1194.33333333333,0.243681140635126,1066.69087887925
"30",30,30,30,30,"2011-01-30",1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,1168.42857142857,1098,1167,431,506,1985,1416,986,981,1501,1084.14285714286,1132.5,1200.95238095238,-0.119266055045872,1105.74221945069
"31",31,31,31,31,"2011-01-31",1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,1328.28571428571,1096,1098,1167,431,506,1985,1416,986,1360,1099.85714285714,1097,1214,-0.111561866125761,1289.16953030782
"32",32,32,32,32,"2011-02-01",1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,1405.57142857143,1501,1096,1098,1167,431,506,1985,1416,1526,1112,1298.5,1222.57142857143,-0.0600282485875706,1233.62247259354
"33",33,33,33,33,"2011-02-02",1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,1392.28571428571,1360,1501,1096,1098,1167,431,506,1985,1550,1022.71428571429,1430.5,1227.19047619048,0.314861460957179,1210.7925817364
"34",34,34,34,34,"2011-02-03",1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,1467.57142857143,1526,1360,1501,1096,1098,1167,431,506,1708,1168.42857142857,1443,1244.52380952381,-2.01581027667984,1405.43859259354
"35",35,35,35,35,"2011-02-04",1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,1497.71428571429,1550,1526,1360,1501,1096,1098,1167,431,1005,1328.28571428571,1538,1251.38095238095,-2.59628770301624,1570.60232859353
"36",36,36,36,36,"2011-02-05",1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,1522,1708,1550,1526,1360,1501,1096,1098,1167,1623,1405.57142857143,1629,1265.04761904762,-0.463581833761782,1275.19243145068
"37",37,37,37,37,"2011-02-06",1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,1533.28571428571,1005,1708,1550,1526,1360,1501,1096,1098,1712,1392.28571428571,1356.5,1253.47619047619,0.0846994535519126,1495.45852002211
"38",38,38,38,38,"2011-02-07",1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,1531.57142857143,1623,1005,1708,1550,1526,1360,1501,1096,1530,1467.57142857143,1314,1273.42857142857,-0.480839416058394,1614.92470745068
"39",39,39,39,39,"2011-02-08",1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,1537,1712,1623,1005,1708,1550,1526,1360,1501,1605,1497.71428571429,1667.5,1307.33333333333,-0.140572951365756,1533.93763145069
"40",40,40,40,40,"2011-02-09",1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,1603.71428571429,1530,1712,1623,1005,1708,1550,1526,1360,1538,1522,1621,1347.66666666667,-0.125,1577.59858116497
"41",41,41,41,41,"2011-02-10",1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,1598.85714285714,1605,1530,1712,1623,1005,1708,1550,1526,1746,1533.28571428571,1567.5,1345.52380952381,-0.0517693315858453,1549.45507430782
"42",42,42,42,42,"2011-02-11",1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,1627.57142857143,1538,1605,1530,1712,1623,1005,1708,1550,1472,1531.57142857143,1571.5,1327,0.00774193548387097,1632.70798345068
"43",43,43,43,43,"2011-02-12",1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,1668.28571428571,1746,1538,1605,1530,1712,1623,1005,1708,1589,1537,1642,1336.66666666667,-0.022248243559719,1520.5276417364
"44",44,44,44,44,"2011-02-13",1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,1741.14285714286,1472,1746,1538,1605,1530,1712,1623,1005,1913,1603.71428571429,1609,1360.04761904762,-0.464676616915423,1635.4331977364
"45",45,45,45,45,"2011-02-14",1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,1875,1589,1472,1746,1538,1605,1530,1712,1623,1815,1598.85714285714,1530.5,1388.7619047619,0.0209488601355514,1741.70598802211
"46",46,46,46,46,"2011-02-15",1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,2043.71428571429,1913,1589,1472,1746,1538,1605,1530,1712,2115,1627.57142857143,1751,1412.42857142857,-0.117406542056075,1730.18889316497
"47",47,47,47,47,"2011-02-16",1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,2067,1815,1913,1589,1472,1746,1538,1605,1530,2475,1668.28571428571,1864,1404.33333333333,-0.186274509803922,1888.08016002211
"48",48,48,48,48,"2011-02-17",1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,2098.85714285714,2115,1815,1913,1589,1472,1746,1538,1605,2927,1741.14285714286,1965,1480.95238095238,-0.317757009345794,2098.84702002211
"49",49,49,49,49,"2011-02-18",1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,1983.71428571429,2475,2115,1815,1913,1589,1472,1746,1538,1635,1875,2295,1578.28571428571,-0.609232769830949,2396.46809545068
"50",50,50,50,50,"2011-02-19",1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,1931.57142857143,2927,2475,2115,1815,1913,1589,1472,1746,1812,2043.71428571429,2701,1662.09523809524,-0.676403207331042,1949.3090537364
"51",51,51,51,51,"2011-02-20",1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,1903.28571428571,1635,2927,2475,2115,1815,1913,1589,1472,1107,2067,2281,1687.66666666667,-0.110733695652174,1976.17363316497
"52",52,52,52,52,"2011-02-21",1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,1807.85714285714,1812,1635,2927,2475,2115,1815,1913,1589,1450,2098.85714285714,1723.5,1721.7619047619,-0.140339836375079,1693.46087087925
"53",53,53,53,53,"2011-02-22",1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,1598.42857142857,1107,1812,1635,2927,2475,2115,1815,1913,1917,1983.71428571429,1459.5,1703,0.421327757449033,1712.71057030783
"54",54,54,54,54,"2011-02-23",1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,1646.14285714286,1450,1107,1812,1635,2927,2475,2115,1815,1807,1931.57142857143,1278.5,1707.28571428571,0.201101928374656,1912.0138417364
"55",55,55,55,55,"2011-02-24",1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,1730.42857142857,1917,1450,1107,1812,1635,2927,2475,2115,1461,1903.28571428571,1683.5,1725.90476190476,0.0936170212765957,1858.7377760221
"56",56,56,56,56,"2011-02-25",1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,1778.85714285714,1807,1917,1450,1107,1812,1635,2927,2475,1969,1807.85714285714,1862,1738.14285714286,0.26989898989899,1626.07823773639
"57",57,57,57,57,"2011-02-26",1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,1836.14285714286,1461,1807,1917,1450,1107,1812,1635,2927,2402,1598.42857142857,1634,1726.38095238095,0.500854116843184,1677.28977602211
"58",58,58,58,58,"2011-02-27",1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,1867.14285714286,1969,1461,1807,1917,1450,1107,1812,1635,1446,1646.14285714286,1715,1772.28571428571,-0.204281345565749,2002.48951945069
"59",59,59,59,59,"2011-02-28",1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,1849.71428571429,2402,1969,1461,1807,1917,1450,1107,1812,1851,1730.42857142857,2185.5,1809.38095238095,-0.32560706401766,1653.23891487925
"60",60,60,60,60,"2011-03-01",1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,1918.71428571429,1446,2402,1969,1461,1807,1917,1450,1107,2134,1778.85714285714,1924,1796.71428571429,-0.306233062330623,1840.19424916496
"61",61,61,61,61,"2011-03-02",1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,1934.14285714286,1851,1446,2402,1969,1461,1807,1917,1450,1685,1836.14285714286,1648.5,1812,-0.276551724137931,1998.7988697364
"62",62,62,62,62,"2011-03-03",1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,1677.42857142857,2134,1851,1446,2402,1969,1461,1807,1917,1944,1867.14285714286,1992.5,1837.19047619048,-0.113197704747001,1811.11786859354
"63",63,63,63,63,"2011-03-04",1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,1738.28571428571,1685,2134,1851,1446,2402,1969,1461,1807,2077,1849.71428571429,1909.5,1844.19047619048,0.0675152185943553,1892.16979316497
"64",64,64,64,64,"2011-03-05",1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,1778.57142857143,1944,1685,2134,1851,1446,2402,1969,1461,605,1918.71428571429,1814.5,1853.61904761905,-0.330595482546201,2026.14470687926
"65",65,65,65,65,"2011-03-06",1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,1743.85714285714,2077,1944,1685,2134,1851,1446,2402,1969,1872,1934.14285714286,2010.5,1882.42857142857,-0.0548501777552057,1375.96606630783
"66",66,66,66,66,"2011-03-07",1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,1592.14285714286,605,2077,1944,1685,2134,1851,1446,2402,2133,1677.42857142857,1341,1835.57142857143,0.748126561199001,1659.84553087925
"67",67,67,67,67,"2011-03-08",1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,1596.85714285714,1872,605,2077,1944,1685,2134,1851,1446,1891,1738.28571428571,1238.5,1833.61904761905,-0.294605809128631,1944.32004059353
"68",68,68,68,68,"2011-03-09",1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,1604.71428571429,2133,1872,605,2077,1944,1685,2134,1851,623,1778.57142857143,2002.5,1848.7619047619,-0.152350081037277,1853.79206345068
"69",69,69,69,69,"2011-03-10",1,0,3,0,4,1,3,0.389091,0.385668,0.502727571428571,0.261877,46,577,623,1863.57142857143,1891,2133,1872,605,2077,1944,1685,2134,1977,1743.85714285714,2012,1838.09523809524,0.113870665417057,1253.98731259354
"70",70,70,70,70,"2011-03-11",1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,1888.42857142857,623,1891,2133,1872,605,2077,1944,1685,2132,1592.14285714286,1257,1749.90476190476,0.63026706231454,1702.1031657364
"71",71,71,71,71,"2011-03-12",1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,1877.42857142857,1977,623,1891,2133,1872,605,2077,1944,2417,1596.85714285714,1300,1704.66666666667,-0.0169753086419753,1839.29716630782
"72",72,72,72,72,"2011-03-13",1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,1920.42857142857,2132,1977,623,1891,2133,1872,605,2077,2046,1604.71428571429,2054.5,1728.33333333333,-0.0264805007221955,1968.21867830783
"73",73,73,73,73,"2011-03-14",1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,2223.42857142857,2417,2132,1977,623,1891,2133,1872,605,2056,1863.57142857143,2274.5,1757.14285714286,-2.99504132231405,2063.4352977364
"74",74,74,74,74,"2011-03-15",1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,2403.71428571429,2046,2417,2132,1977,623,1891,2133,1872,2192,1888.42857142857,2231.5,1801.85714285714,-0.092948717948718,1980.80307716497
"75",75,75,75,75,"2011-03-16",1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,2544.42857142857,2056,2046,2417,2132,1977,623,1891,2133,2744,1877.42857142857,2051,1830.71428571429,0.0360993905297703,2017.80923373639
"76",76,76,76,76,"2011-03-17",1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,2552.14285714286,2192,2056,2046,2417,2132,1977,623,1891,3239,1920.42857142857,2124,1843.80952380952,-0.159175039661555,2303.9869497364
"77",77,77,77,77,"2011-03-18",1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,2556.57142857143,2744,2192,2056,2046,2417,2132,1977,623,3117,2223.42857142857,2468,1888.42857142857,-3.40449438202247,2802.2202137364
"78",78,78,78,78,"2011-03-19",1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,2649,3239,2744,2192,2056,2046,2417,2132,1977,2471,2403.71428571429,2991.5,1973.09523809524,-0.638340920586748,2798.93482802212
"79",79,79,79,79,"2011-03-20",1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,2638.85714285714,3117,3239,2744,2192,2056,2046,2417,2132,2077,2544.42857142857,3178,2027.7619047619,-0.462007504690432,2582.74987259354
"80",80,80,80,80,"2011-03-21",2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,2513.28571428571,2471,3117,3239,2744,2192,2056,2046,2417,2703,2552.14285714286,2794,2031.04761904762,-0.0223417459660736,2359.50394745069
"81",81,81,81,81,"2011-03-22",2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,2366.28571428571,2077,2471,3117,3239,2744,2192,2056,2046,2121,2556.57142857143,2274,2061.09523809524,-0.0151515151515152,2630.98990402211
"82",82,82,82,82,"2011-03-23",2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,2277.57142857143,2703,2077,2471,3117,3239,2744,2192,2056,1865,2649,2390,2101.66666666667,-0.314688715953307,2470.1212097364
"83",83,83,83,83,"2011-03-24",2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,2166.42857142857,2121,2703,2077,2471,3117,3239,2744,2192,2210,2638.85714285714,2412,2101.04761904762,0.0323905109489051,2309.48090287925
"84",84,84,84,84,"2011-03-25",2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,2159.42857142857,1865,2121,2703,2077,2471,3117,3239,2744,2496,2513.28571428571,1993,2109.61904761905,0.32033527696793,2337.30703887925
"85",85,85,85,85,"2011-03-26",2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,2119.71428571429,2210,1865,2121,2703,2077,2471,3117,3239,1693,2366.28571428571,2037.5,2122.28571428571,0.317690645260883,2368.07790916497
"86",86,86,86,86,"2011-03-27",2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,2036.14285714286,2496,2210,1865,2121,2703,2077,2471,3117,2028,2277.57142857143,2353,2142.2380952381,0.199230028873917,1996.01623145068
"87",87,87,87,87,"2011-03-28",2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,2010.42857142857,1693,2496,2210,1865,2121,2703,2077,2471,2425,2166.42857142857,2094.5,2194.04761904762,0.314852286523675,2067.88913316497
"88",88,88,88,88,"2011-03-29",2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,2012.85714285714,2028,1693,2496,2210,1865,2121,2703,2077,1536,2159.42857142857,1860.5,2201.47619047619,0.0235917188252287,2280.3722937364
"89",89,89,89,89,"2011-03-30",2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,1978,2425,2028,1693,2496,2210,1865,2121,2703,1685,2119.71428571429,2226.5,2215.38095238095,0.102848686644469,1859.69398402211
"90",90,90,90,90,"2011-03-31",2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,2200.28571428571,1536,2425,2028,1693,2496,2210,1865,2121,2227,2036.14285714286,1980.5,2198.47619047619,0.275813295615276,1857.63429430783
"91",91,91,91,91,"2011-04-01",2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,2355.57142857143,1685,1536,2425,2028,1693,2496,2210,1865,2252,2010.42857142857,1610.5,2249.04761904762,0.096514745308311,2102.12432687925
"92",92,92,92,92,"2011-04-02",2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,2265.57142857143,2227,1685,1536,2425,2028,1693,2496,2210,3249,2012.85714285714,1956,2260.95238095238,-0.00769230769230769,2126.45802116496
"93",93,93,93,93,"2011-04-03",2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,2447.28571428571,2252,2227,1685,1536,2425,2028,1693,2496,3115,1978,2239.5,2266.66666666667,0.0977564102564103,2521.18810459354
"94",94,94,94,94,"2011-04-04",2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,2655.28571428571,3249,2252,2227,1685,1536,2425,2028,1693,1795,2200.28571428571,2750.5,2306.28571428571,-0.919078558771412,2700.65084630782
"95",95,95,95,95,"2011-04-05",2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,2547.28571428571,3115,3249,2252,2227,1685,1536,2425,2028,2808,2355.57142857143,3182,2357.19047619048,-0.535996055226824,2189.77400745068
"96",96,96,96,96,"2011-04-06",2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,2576.28571428571,1795,3115,3249,2252,2227,1685,1536,2425,3141,2265.57142857143,2455,2344.7619047619,0.25979381443299,2470.24825430783
"97",97,97,97,97,"2011-04-07",2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,2525.71428571429,2808,1795,3115,3249,2252,2227,1685,1536,1471,2447.28571428571,2301.5,2374.09523809524,-0.828125,2834.66977602211
"98",98,98,98,98,"2011-04-08",2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,2559,3141,2808,1795,3115,3249,2252,2227,1685,2455,2655.28571428571,2974.5,2393,-0.864094955489614,2242.85512116497
"99",99,99,99,99,"2011-04-09",2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,2593.14285714286,1471,3141,2808,1795,3115,3249,2252,2227,2895,2547.28571428571,2306,2308.80952380952,0.339470139200718,2470.03435316497
"100",100,100,100,100,"2011-04-10",2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,2500.85714285714,2455,1471,3141,2808,1795,3115,3249,2252,3348,2576.28571428571,1963,2277.28571428571,-0.0901420959147425,2735.73308916496
"101",101,101,101,101,"2011-04-11",2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,2518.85714285714,2895,2455,1471,3141,2808,1795,3115,3249,2034,2525.71428571429,2675,2297.47619047619,0.108956602031394,2868.30082859354
"102",102,102,102,102,"2011-04-12",2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,2755.28571428571,3348,2895,2455,1471,3141,2808,1795,3115,2162,2559,3121.5,2358,-0.0747993579454254,2355.87131316497
"103",103,103,103,103,"2011-04-13",2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,2518.14285714286,2034,3348,2895,2455,1471,3141,2808,1795,3267,2593.14285714286,2691,2326.14285714286,-0.133147632311978,2430.92430116497
"104",104,104,104,104,"2011-04-14",2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,2639.42857142857,2162,2034,3348,2895,2455,1471,3141,2808,3126,2500.85714285714,2098,2328.09523809524,0.23005698005698,2801.17605430782
"105",105,105,105,105,"2011-04-15",2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,2651,3267,2162,2034,3348,2895,2455,1471,3141,795,2518.85714285714,2714.5,2394.85714285714,-0.0401146131805158,2798.13479545068
"106",106,106,106,106,"2011-04-16",2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,2818.14285714286,3126,3267,2162,2034,3348,2895,2455,1471,3744,2755.28571428571,3196.5,2438.47619047619,-1.12508497620666,2019.95509887925
